주소,위도,경도
강원 원주시 평원로 111 ,37.3538911,127.9474602
강원 원주시 강변로 283 ,37.3329707,127.9607559
강원 원주시 행구로 50,37.341271,127.9614299
강원 원주시 현충로 288 ,37.3790849,127.9491793
강원 원주시 치악로 1371 ,37.3097667,127.9761851
강원 원주시 행구로 121 ,37.3422826,127.9695362
강원 원주시 귀래면 북원로 116-1,37.1709956,127.8843919
강원 원주시 판부면 남원로 380,37.3193651,127.9399101
강원 원주시 흥업면 사제로 5,37.3028174,127.9192644
강원 원주시 귀래면 북원로 105,37.1699065,127.8838373
강원 원주시 판부면 치악로 991,37.28263020000001,128.0000158
강원 원주시 동부순환로 69,37.3216942,127.9737802
강원 원주시 호저면 원문로 437,37.3609413,127.9112288
강원 원주시 서원대로 154 ,37.3440951,127.9284221
강원 원주시 치악로 1464 ,37.3164336,127.9703082
강원 원주시 원문로 246 ,37.3562961,127.9241763
강원 원주시 호저면 마근거리길 120,37.4336254,127.9294805
강원 원주시 북원로 2607 ,37.4225865,127.9659584
강원 원주시 흥업면 원문로 804,37.3429669,127.8861684
강원 원주시 문막읍 원문로 1387,37.3282336,127.8467107
강원 원주시 치악로 2090 ,37.365476,127.9624335
강원 원주시 문막읍 원문로 1895,37.3064038,127.8149126
강원 원주시 현충로 40,37.3593485,127.9547275
강원 원주시 문막읍 보통로 153,37.3398361,127.8529339
강원 원주시 원문로 347 ,37.3598209,127.9182269
강원 원주시 남원로 629 ,37.3392914,127.9519023
강원 원주시 소초면 치악로 2324,37.382684,127.9749763
강원 원주시 문막읍 여원로 1479,37.2788298,127.7744572
강원 원주시 문막읍 원문로 1234-1,37.3357884,127.8581985
강원 원주시 문막읍 문막시장1길 19,37.3073311,127.8172737
강원 원주시 문막읍 원문로 2075,37.3025455,127.8089145
강원 원주시 부론면 법천시장길 7,37.2107331,127.7502295
강원 원주시 문막읍 원문로 2170,37.297802,127.7947974
강원 원주시 소초면 북원로 3370,37.437612,127.9784658
강원 원주시 판부면 남원로 174,37.3073176,127.9275873
강원 원주시 판부면 치악로 1125,37.292107,127.9918906
강원 원주시 지정면 원문로 1035,37.3378784,127.8735914
강원 원주시 소초면 치악로 2834,37.4210977,128.003751
강원 원주시 소초면 치악로 2574,37.4007948,127.9907302
강원도 원주시 신림면 신림황둔로 99 ,37.2375486,128.0870294
강원 원주시 신림면 제원로 1429,37.2284021,128.0820672
강원 원주시 북원로 2400,37.3588645,127.9386504
강원 원주시 호저면 신무로 12,37.3572639,127.9010317
강원 원주시 강변로 577 ,37.3548318,127.9517355
강원 원주시 지정면 지정로 819,37.3509633,127.8030259
강원 원주시 문막읍 원문로 1227,37.3338184,127.8580329
강원 원주시 우산로 2 ,37.3652583,127.9360982
강원 원주시 원문로 149 ,37.3553152,127.9323082
강원 원주시 소초면 치악로 2327,37.3832102,127.9746622
강원 원주시 호저로 226 ,37.3876685,127.9396267
강원 원주시 원문로 192 ,37.3562862,127.9285596
강원도 원주시 치악로 1563 ,37.3226508,127.9621694
강원 원주시 북원로 2820 ,37.3948794,127.9513732
강원 원주시 지정면 월송석화로 446,37.4036278,127.840314
강원 원주시 봉화로 87 ,37.3523662,127.9281784
강원 원주시 치악로 2215 ,37.3742051,127.9691293
강원 원주시 한지공원길 42 ,37.3306645,127.9424333
강원 원주시 강변로 745 ,37.3698448,127.946749
강원도 원주시 북원로 2109 ,37.3347741,127.928501
강원 원주시 치악로 1263 ,37.3013819,127.9813766
강원 원주시 북원로 1930 ,37.3215753,127.9196878
강원 원주시 서원대로 421,37.3298521,127.9514603
강원 원주시 시청로 170,37.3290948,127.9395267
강원 원주시 지정면 간현로 110,37.3613475,127.8412845
강원 원주시 문막읍 원문로 1320,37.3316195,127.8505282
강원 원주시 치악로 1974 ,37.3566794,127.9570488
강원 원주시 신림면 치악로 416,37.2537638,128.0484301
강원 원주시 신림면 다리실2길 32,37.2568971,128.0482991
강원 원주시 신림면 신림황둔로 1107,37.2575546,128.1790809
강원 원주시 북원로 2705 ,37.3849439,127.9473572
강원 원주시 호저면 호저로 598,37.4248376,127.921843
강원 원주시 강변로 629,37.3595329,127.949521
강원도 원주시 문막읍 개나루길 13,37.2979848,127.8173143
강원 원주시 호저면 마근거리길 110,37.4353657,127.9315129
강원 원주시 북원로 2564 ,37.3729672,127.9430005
강원 원주시 강변로 685 ,37.3647815,127.9487464
강원 원주시 북원로 2740,37.3880281,127.9487689
강원 원주시 행구로 253 ,37.3431496,127.9838989
강원 원주시 지정면 기업도시로 125,37.3716767,127.8702109
강원 원주시 북원로 2929 ,37.4046854,127.9542518
강원 원주시 서원대로 516 ,37.3243017,127.9597562
강원 원주시 남원로 505 ,37.3296142,127.9452958
강원 원주시 천사로 235 ,37.35268720000001,127.9496136
강원 원주시 현충로 24 ,37.3580023,127.9548863
강원 원주시 소초면 치악로 2348,37.38441,127.9765804
강원 원주시 흥업면 남원로 133,37.3068187,127.9224865
강원 원주시 지정면 원문로 1153,37.3352392,127.863938
강원 인제군 북면 미시령로 660,38.1809531,128.3086722
강원 인제군 북면 미시령로 951,38.1809531,128.3086722
강원 인제군 기린면 내린천로 3996,37.9529822,128.316027
강원 인제군 상남면 서울양양고속도로 117,37.8740954,128.2599315
강원 인제군 인제읍 광치령로 681,38.1345247,128.1559575
강원 인제군 북면 원통로 142,38.1200357,128.2016807
강원 인제군 북면 미시령로 979,38.1809531,128.3086722
강원 인제군 북면 고원통로 121,38.1505273,128.2572656
강원 인제군 북면 미시령로 1113-3,38.1809531,128.3086722
강원 인제군 인제읍 인제로 146,38.06601860000001,128.1678728
강원 인제군 상남면 아홉사리로 3171,37.8666653,128.2602161
강원 인제군 남면 설악로 233,37.968761,128.0887947
강원 인제군 남면 신남로 79,37.9698574,128.0807971
강원 인제군 남면 설악로 51,37.968761,128.0887947
강원 인제군 기린면 내린천로 3477,37.93263049999999,128.2936125
강원 인제군 기린면 상하답로 130,38.0090727,128.3155273
강원 인제군 인제읍 인제로 245,38.0715478,128.1766193
강원 인제군 남면 설악로 160,37.968761,128.0887947
강원 인제군 북면 설악로 2775,38.1147733,128.2020517
강원 인제군 기린면 내린천로 4172,37.968029,128.3230159
강원 인제군 서화면 금강로 1378,38.2197261,128.2054674
강원 인제군 북면 원통로 331,38.1293728,128.2187406
강원 인제군 북면 설악로 3251-7,38.1394251,128.2447419
강원 인제군 남면 신남로 151,37.9745433,128.0863363
강원 인제군 인제읍 설악로 2352,38.0855358,128.1824541
강원 정선군 정선읍 비봉로 71,37.381671,128.6661746
강원 정선군 고한읍 고한로 209,37.1974583,128.8572195
강원 정선군 정선읍 정선로 1160,37.3817159,128.6445893
강원 정선군 고한읍 지장천로 859,37.2201239,128.8348594
강원 정선군 화암면 소금강로 1014,37.3120523,128.8132374
강원 정선군 북평면 서동로 2085,37.4515374,128.6659799
강원 정선군 남면 문은단로 8,37.26753,128.7415616
강원 정선군 고한읍 고한2길 3,37.2043377,128.8496571
